Question,Answer,Explanation
Endometrial Carcinoma risk in,Ans. (d) Arise from the fertilization of a single egg by  two sperm,"(Ref: Robbins 9th/pg 1039) Figure: Origin of complete and partial hydatidiform moles.  A.  Complete moles most commonly (90%) arise from  fertilization of an empty ovum by a single sperm that  undergoes duplication of its chromosomes?karyotype  46XX. (a phenomenon called and rogenesisQ as it is  derived from paternal chromosome). B.  Less commonly,(10%) complete moles arise from  dispermy in which two sperm fertilize an empty ovum? karyotypeQ 46XX or 46XY karyotype. C.  Partial moles arise from two sperm fertilizing a single  ovum.-OPTION D IS FALSE 42."
Complete mole can be differentiated from partial mole by,"Ans. (b) Dysgerminoma Here, you see, solid ovarian neoplasm with sheets of large  polygonal cells separated by septa prominent nucleon. The  septa is infiltrated by lymphocytes.  43.",No explanation provided.
True about Complete,Ans. (a) Specimen shows multiple solid cystic areas  suggestive of dermoid cyst.,(Ref: Robbins 9th/pg 1029)  ? Dermoid cysts are the commonest solid ovarian  neoplasm found in young women. Complete Review of Pathology 556 Answers with Explanations 44.
"A 35-year-old female with adnexal mass, CA 125 normal, LDH raised and CA 19.9 was normal. Gross and histopathology has been given below. What is your diagnosis",Ans. (b) Granulosa cell tumor,(Ref:  Robbin's 9th/pg 1029) 45.
"A 25 female patient presented with complains of feeling of mass per abdomen. On examination, a mass was found on left adnexal lesion with multiple solid cytic areas. The patient was operated and the mass was removed, which has been shown below. What is the true statement regarding the condition",Ans. (b) Krukenberg tumour,"(Ref: Robbin?s Pathology 9th Ed/Pg 1032; Robbin?s Pathology  8th ED/PG 1050; Shaw?s Textbook of Gynaecology 15/e pg  425)   Krukenberg Tumor  ? Refers to a metastatic bilateral ovarian malignancy  whose primary site is GIT or breast.Q   ? Composed of cellular or myxomatous stroma with  scattered mucin-producing, signet-ring cancer cells,  most often of gastric origin (70%)Q  ? Ca colon, appendix, breast (sp invasive lobular  carcinoma), pancreas and gall bladder are other  primary sites. 46."
Call exner bodies are seen in,Ans. (d) Benign cystic teratoma,(Ref: Robbins 9th/pg 1030) 47.
"BA lady with abdominal mass was investigated. On surgery, she was found to have b/l ovarian masses with smooth surface. On microscopy they revealed mucin secreting cells with signet ring shapes. What is your diagnosis",Ans. (b) Sex cord stromal tumor,(Ref: Robbins 9th/pg  1032) 48.
One of the following is a germ cell tumor of ovary,Ans. (a) LH,(Ref: Robbins 9th/pg 1022) Polycystic ovarian disease (Stein-Leventhal syndrome) Characterized by Endocrine  abnormalities Abnormalities in  ovary  ? Hyperandrogenism  ? Menstrual  abnormalities   ? Polycystic ovaries   ? Chronic  anovulation   ? Decreased fertilityQ  ? Excess androgens  (androstenedione)Q  ? Increased estrogen  levelsQ  ? Increased LH &  decreased FSH  levels   ? High LH/FSH ratio   ? Increased GnRH  levels   ? Enlarged with  thick capsules  ? Hyperplastic  ovarian  stroma  ? Numerous  follicular cysts  lined by a  hyperplastic  theca interna. 49.
Fibroma belongs to,Ans. (a) Luteoma,"(Ref: Best Practice and Research Clinical Endocrinology and  Metabolism (Elsevier Ltd.) 25:985?992) A luteoma is a tumor that occurs in the ovaries during  pregnancy. It is associated with an increases of sex hormones, primarily  progesterone and testosterone Benign Resolve themselves after delivery 50."
Which hormone is increased in PCOS,Ans. (a) Serous cystadenoma,(Ref: Robbins 9th/pg 1023)  ? Most ovarian tumors are surface epithelial (65-70%)  ? Serous cystadenoma is the most common surface  epithelial tumor  51.
Which of these tumors is unique to pregnancy,Ans. (b) Teratoma,"(Ref: R 9th/pg 1029; 8th/pg 1057-48)  ? Mature (Benign) Teratomas  ? Rokitansky protuberanceQ-The inner lining of cyst  contains single or multiple white shiny masses projecting  from the wall toward the center of the cysts. Hair, other  dermal appendages, bone and teeth are present, they  usually arise from this protuberance 52."
Most common ovarian tumor,Ans. (a) CA-125,"(Ref: Robbins 9th/pg 1033; Am J Prev Med 13 (6): 444?6)  ? CA125- is a glycoprotein  ? Elevated levels in epithelial ovarian cancers  ? CA-125 is the most frequently used biomarker for  ovarian cancer detection Elevated CA125- not a specific marker  ? In other cancers, including endometrial cancer, fallo- pian tube cancer, lung cancer, breast cancer and gas- trointestinal cancer.  ? Benign conditions, such as endometriosis, PID,  cirrhosis and diabetes mellitus 53."
Rokitanski protruberences are seen in - a. Mucinous carcinoma,"Ans. (a, c, e); a. Glycoprotein; c. Increased in colon  carcinoma; e. May be elevated in Pelvic inflammatory  disease","(Ref: Robbins 9th/pg 1033; 8th/pg 1052, Am J Prev Med 13  (6): 444?6) 54."
Marker for ovarian carcinoma in serum is -,Ans. (a) Follow up of ovarian cancer,"(Ref: Robbins 9th/pg 1033; 8th/pg 1052, Am J Prev Med 13  (6): 444?6) 55."
True about CA-125,Ans. (c) Inhibin,"(Ref: Robbins 9th/pg 1032) Elevated tissue and serum levels of inhibin,Q a product of  granulosa cells, are associated with granulosa cell tumors Option a- CA19-9- pancreatic cancer (Ref: Eur J Surg Oncol.  Apr 2007;33(3):266-70) Option D- NSE- Neuroblastoma 56."
CA 125 is used for,Ans. (d) Gonadal type is chemosensitive,"(Ref: Robbins 9th/pg 1031)  ? In contrast to choriocarcinomas arising in placental  tissue, those arising in the ovary are generally  unresponsive to chemotherapy and are often fatal.Q"
Granulomatous mastitis is caused by all except-,Ans. (c) Staphylococcus,"(Ref: Robbins 9th/pg 1047)  ? Granulomatous mastitis: Can be a manifestation of  systemic granulomatous diseases (e.g., granulomatosis  with polyangiitis, sarcoidosis, TB, fungi) or of disorders  that are localized to the breast (granulomatous lobular  mastitis)Q Granulomatous lobular mastitis- only occurs in parous  women, caused by a hypersensitivity reaction to antigens  expressed during lactationQ 2."
All are benign conditions except a. Fibroadenoma,Ans. (c) Pagets disease of nipple,(Ref: Robbins 9th/pg 1057) Option a and d are clearly benign We get confused in option b and c Now cystosarcoma phyllodes are usually benign but can be  borderline or rarely malignant also Mammary Pagets disease is always associated with an  underlying carcinoma of the breast. Mammary Paget cells  are malignant epithelial cells derived from underlying  ductal adenocarcinoma of the breast that invade into the  skin of nipple and areolar areas. 3.
"A 17/F underwent FNAC for a lump in the breast which was non-tender, firm and mobile. Which of the following features would suggest finding of a benign breast disease",Ans. (b) Tightly arranged ductal epithelial cells with  bare nuclei,(Ref: Gray Diagnostic Cytopathology 2nd ed: 279-80)  ? Option A- Dyscohesive ductal epithelial cells without  cellular fragments- feature of ductal carcinoma  ? Option B- Tightly arranged ductal epithelial cells with  bare nuclei- fibroadenoma (benign disease)  ? Option C- Stromal predominance with spindle cells-  phyllodes tumor  ? Option D- Polymorphism with single or arranged ductal  epithelial cells- tubular carcinoma 4.
Lesions affecting the terminal duct lobular unit,Ans. (a) Nipple adenoma,"(Ref: Robbins 9th/pg 1044) Lesions arising from various parts of breast:  Normal Lesions Lobules and  terminal ducts (Terminal Duct  Lobular Unit or  TDLU)  ? Cyst, Adenosis, Multiple  papillomatosis  ? Sclerosing adenomas  ? Hyperplasia, Atypical hyperplasia  ? Carcinoma Large ducts  ? Duct ectasia, Single intraductal  papilloma  ? Nipple adenomaQ, large duct  adenoma  ? Squamous metaplasia of lactiferous  ducts   ? Paget diseaseQ Intralobular  stroma  ? Fibroadenoma (focal hyperplasia  of stroma & epithelial component  of TDLU)   ? Phyllodes tumor Interlobular  stroma  ? Fat necrosis  ? Lipoma  ? Sarcoma 5."
A 30-year-old female presented with 4 cm mass in the right breast. Biopsy showed densely packed cells with bland nuclei and mucin infiltrating the stroma. What is your diagnosis,Ans. (d) Colloid carcinoma,(Ref: Robbins 9th/pg 1057) 6.
Van Nuys prognostic indicator for DCIS does not include which of the following parameter,Ans. (c) Type of DCIS,"(Ref: Sterenberg diagnostic surgical pathology 5th ed p 312)   The Van Nuys Prognostic Index (VNPI) classifies patients  with DCIS to guide decisions on the best treatment option.  The index uses patient age, tumour size, tumour growth  patterns (histological grade) and the amount of healthy  tissue surrounding the tumour after removal (resection  margin width) to predict the risk of cancer returning. 7."
"The pictures below show breast biopsy specimen on which immu nohistochemical for ER,PR and Her2 neu have been done. Which of the following is true about the prognosis of the patient",Ans. (b) Poor prognosis,"(Ref: Ref: Robbins 9th/pg 1064 Complete review of pathology  2nd ed/ pg 656)  ? The given image shows the breast tissue negatively  stained for all three i.e ER, PR and Her2 neu.(called  Triple negative); it signifies poor prognosis 8."
Most important prognostic factor in Ca. Breast. a. Lymph Node status,Ans. (a) Lymph Node status,(Ref: Ref: Robbins 9th/pg 1064 Complete review of pathology  2nd ed/ pg 656) Axillary LN status is the most important prognostic  indicator in breast ca 9.
Somatic mutation E17K in the PH domain of AKT-1 gene mutation is associated with,Ans. (b) Breast,(Ref: Atlasgeneticsoncology.org/Genes/AKT1) Hyper-activation of AKT1 has been found associated to  several human cancers:  ? Thyroid carcinomaˇ  ? Breast carcinomaˇ  ? Non-small cell lung carcinomaˇ  ? Gastric carcinomaˇ Now coming to question: Somatic mutation E17K occurs  in the PH domain of AKT1 in 8% of human breast cancers.  This mutation also occurs in 6% of colorectal cancers. 10.
Cancer detected in one breast which to bl screened in contralateral breast,Ans. (a) Lobular,(Ref: Robbins 9th/pg 1065; 8th/pg 1085) Lobular carcinomas are usually bilateral 11.
Male breast cancer wrong statement- a. Brca2 seen in 6% cases,Ans. (b) Lobular carcinoma is common,"(Ref: Robbins 9th/pg 1054) From 4% to 14% of cases in males are attributed to germline  BRCA2 mutations ?OPTION A IS TRUE Structure of the male breast does not have lobules and  acini, lobular carcinoma cases are seen infrequently- OPTION B IS FALSE Most common breast cancer in male is ductal carcimnoma  NOS Colloid carcinoma can be seen.  Answers with Explanations 569 Chapter 18 ? Breast Answers with Explanations 12."
"Cystosarcoma phylloides, true is","Ans. (a, b, e); a. it has a spectrum of benign to  malignant; b. Can be rarely seen in children; e. Seen in  elderly females",(Ref: Robbins 9th/pg 1051) It has a spectrum of benign to malignant- true Phyllodes tumors occurs in a median age of fifth decade of  life Rare reports of phyllodes tumor in children have been  described. 13.
Following is not true about the gene mutations leading to breast carcinoma,Ans. (b) BRCA 1 mutation is present in most of the  cases of breast carcinoma,(Ref: Robbins 9th/pg 1054; 8th/pg 1077) a.  Most common gene involved in familial breast can- cer-BRCA1(52%) > BRCA1(32%) b.  p53 mutation is present in most of the cases of breast  carcinoma c.  Inherited breast carcinomas make about 3 % of the total cases  d.  p53 mutation increases risk of all cancers 14.
Breast CA with best prognosis,Ans. (a) Mucinous,"(Ref: Robbins 9th/pg 1064-65)  ? Histological type: Invasive ductal carcinoma (no special  type; NST) carries poor prognosis.   ? Tubular, mucinous, lobular, papillary, adenoid cystic  has better prognosis   É Metaplastic  carcinoma  or  micro-papillary  carcinoma have a poorer prognosisQ Remember mucinous > lobular 15."
All of the following are invasive carcinoma breast except-,Ans. (a) Comedo carcinoma,(Ref: Robbins 9th/pg 1057) 16.
The type of mammary ductal carcinoma in situ,Ans. (d) Comedo DCIS,"(Ref: 9th/pg 1057; 8th/pg 1080) Comedocarcinoma-solid intraductal sheet of cells with  a central area of necrosis- undergoes calcification, can  rarely present as palpable massQ 17."
Molecular classification of breast cancer is based on,Ans. (a) Gene profiling,"(Ref: R 9th/pg 1061; 8th/pg 1080) Molecular profiling of breast cancer is done on gene  profilingQ Gene profiling, measures relative quantities of mRNA  for every gene, has 5 major patterns of gene expression. 18."
The most common site for lymphagiosarcoma is,Ans. (c) Post mastectomy arm,"(Ref: Cancer 1948;1:64?81)  ? Lymphangiosarcoma is a misnomer because this  malignancy seems to arise from blood vessels instead of  lymphatic vessels.  ? Most commonly, this tumor is a result of lymphedema  induced by radical mastectomy  ? Stewart-Treves syndrome is a rare, cutaneous  angiosarcoma that develops in long-standing chronic  lymphedema. 19."
True about histology in infilterating lobular breast carcinoma,Ans. (a) Single file pattern,"(Ref: R 9th/pg 1065; 8th/pg  1085) Lobular carcinoma (invasive) of breast-Histologic  hallmark: presence of discohesive infiltrating tumor  cells as single cells in single file patternQ, including  signet-ring cellsQ containing intracytoplasmic mucin  dropletsQ 20."
Modified Bloom Richardson criteria for CA breast includes,"Ans. (c, d, e); c. Mitotic rate; d. Tubule formation;   e. Nuclear polymorphism","(Ref: Robbins 9th/pg 1064)  ? Invasive carcinoma are graded using Modified Bloom  Richardson Score.Q  ? Carcinomas are scored for tubule formation, nuclear  pleomorphism, and mitotic rateQ  ? The points added to divide carcinomas into grade I (well  differentiated), grade II (moderately differentiated), and  grade III (poorly differentiated) types. 21."
Breast Ca is not a/w,"Ans. (b, d);  b. Apocrine metaplasia; d. Fibroadenoma","(Ref: Robbins 9th/pg 1051) Apocrine metaplasia and fibroadenoma do not increase  the risk of breast cancer. All other 3 increase the risk of breast carcinoma. Pathologic Lesion Relative Risk  (Absolute Life time  Risk) Nonproliferative Breast Changes (Fibrocystic changes) 1 (3%)Q  ? Duct ectasia  ? Cysts, Adenosis, mild hyperplasia  ? Apocrine change  ? Fibrodenoma withoutQ complex  features Proliferative Disease Without Atypia 1.5 to 2 (5% - 7%)Q  ? Moderate or florid hyperplasia  ? Sclerosing adenosis  ? Papilloma  ? Complex sclerosing lesion (radial scar)  ? Fibroadenoma withQ complex features Proliferative Disease with Atypia 4 to 5 (13% - 17%)Q  ? Atypical ductal hyperplasia (ADH)  ? Atypical lobular hyperplasia (ALH) Carcinoma in Situ 8 to 10 (20% - 30%)Q  ? Lobular carcinoma in situ (LCIS)  ? Ductal carcinoma in situ (DCIS) 22."
Most common carcinoma of breast is,Ans. (a) Ductal carcinoma,"(Ref: Robbins 9th/pg 1057)  ? Almost all (>95%) of breast malignancies are adenocar- cinomas that first arise in the duct/lobular system as  carcinoma in situ  ? Distribution of invasive carcinoma, breast  ? Invasive Ductal Carcinoma-70 to 80%  ? Invasive lobular Carcinoma-10%  ? Mucinous- 2% 23."
Malignancy of the Breast is likely to be associated with a. Sclerosing adenosis,Ans. (b) Atypical epithelial hyperplasia,(Ref: Robbins 9th/pg 1051)
Patients with Hashimoto's thyroiditis are at increased risk of developing,Ans. (b) Somatotrophs,(Ref: Robbins 9th/pg) The mutation of guanine nucleotide-activating alpha  subunit (GNAS) gene is the somatic mutation related to the  McCune-Albright syndrome.  GNAS mutation is also detected in about 30% to 40% of  sporadic growth hormone (GH) secreting tumors. 2.
Patient came with swelling in midline of neck measuring 2 cm in size. Histopathological examination showed Orphan Annie-eye nuclei. What is the most likely diagnosis,Ans. (a) Placenta,(Ref: Harrison?s 18th/chapter 341) TSH secreted by placenta is called Human chorionic  thyrotropin. 3.
Risk factors for solitary thyroid to be malignant,Ans. (c) Adrenal,"(Ref: Robbins 9th/pg 1130; 8th/pg 1155-1156, Harrison 18th/ chapter 318) Autoimmune polyglandular syndrome Disease Gene Characteristics APS-1 AIRE  (Chr 21q) Autoimmune Poly Endocrinopathy,  Candidiasis, and Ectodermal DystrophyQ  (APECED),  Hypoparathyroidism, rarely lymphomas APS-2 HLA DR3,  CTLA-4 Hypothyroidism, hyperthyroidism,  premature ovarian failure, vitiligo, type 1  diabetes mellitus, pernicious anemia 4."
Papillary carcinoma of thyroid features,Ans. (a) Hypothalamus,"(Ref: Harrison 18th/chapter 339 Robbins 9th/pg1074; 8th/ pg 1098)  ? The main source of POMC is pituitary gland  ? Other sources of POMC are Adrenal, gut, reproductive  tract, placenta, leukocytes, spleen, lung, liver, thyroid,  heart, skin & brain 5."
40-year-old female presented with neck swelling. Gross and histology is shown below. What is your diagnosis,Ans. (c) ADH,"(Ref: Robbins 9th/pg1074; 8th/pg 1098) Posterior pituitary  Produces two hormones:   ? Arginine vasopressin (AVP), also known as antidiuretic  hormone (ADH)  ? Oxytocin 6."
A patient presented with neck swelling. Cytology showed showed parafollicular cells along with clusters of plasmacytoid and few spindle shaped cells. What investigation should be done to follow up the patient,Ans. (a) ? Urine Na+; (c) ? Urine osmolality,"(Ref: Harrison 18th/chapter 100 Robbins 9th/pg 1081-1082;  8th/pg 1106) In syndrome of inappropriate ADH (SIADH):Q  ? ADH excess ? resorption of excessive amounts of free  water  ? Excessive retention of water expands extracellular &  intracellular volume, increases glomerular filtration  591 Chapter 19 ? Endocrine System and its Disorders Answers with Explanations 15."
All the following condition can be diagnosed by FNAC except,Ans. (a) Calcitonin   Cytology showed showed parafollicular cells along with  clusters of plasmacytoid and few spindle shaped cells  are suggestive of medullary ca thyroid and so should be  followed up by its tumor marker calcitonin. 16.,No explanation provided.
Lymphatic spread most commonly seen in which type of thyroid carcinoma,Ans. (c) Papillary carcinoma,"(Ref: R 9th  ed. Pg. 631)   The hallmark of all follicular adenomas is the presence of an  intact, well-formed capsule encircling the tumor. Careful  evaluation of the integrity of the capsule is therefore  critical in distinguishing follicular adenomas from  follicular carcinomas, which demonstrate capsular and/ or vascular invasion. This can be demonstrated by biopsy  of the gland and not FNAC which will demonstrate only  the morphology of the tumor cells and not the entire gland  histology 17."
GNAS mutation is associated with malignancy of which cells,Ans. (a) Papillary,(Ref: Robbins 9th/pg 1097-1098) Thyroid carinoma type Route of spread Papillary Lymphatic Follicular Hematogenous Medullary Regional lymphatic spread and  hematogeneous routes to distant sites Anaplastic Direct 18.
Human chorionic thyrotropin is secreted from,Ans. (c) Diffuse sclerosing variant,"(Ref: Robbins 9th/pg 1097-1098) Diffuse sclerosing variant of papillary carcinoma  ? It occurs in younger individuals, including children.   ? The tumor has a prominent papillary growth pattern  intermixed with solid areas containing nests of  squamous metaplasia.   ? There is extensive, diffuse fibrosis throughout the thyroid  gland, often associated with a prominent lymphocytic  infiltrate, simulating Hashimoto thyroiditis.   ? Lymph node metastases are present in almost all cases.   ? Diffuse sclerosing variant carcinomas lack BRAF  mutations, but RET/PTCtranslocations are found in  approximately half the cases. 19."
Which of these organs are not affected in autoimmune polyglandular syndrome type 2,Ans. (a) Papillary,"(Ref: Robbins 9th/pg 1097-1098) Papillary carcinoma accounts for 80% of cases of thy- roglossal duct carcinomas, with the rest being squamous  cell carcinoma 20."
Proopiomelanocortin is not released from,"Ans. (a, b, c, d) a. Extensive fibrosis involving thyroid;  b. Fibrosis in retroperitoneum; c. IgG4-related disease;  d. Occurs in middle-aged women","(Ref: R 9th/pg 1097-1098) Riedel Thyroiditis It is a rare disorder that typically occurs in middle-aged  women.  It presents with an insidious, painless goiter with local  symptoms due to compression of the esophagus, trachea,  neck veins, or recurrent laryngeal nerves.  and atrial natriuretic hormone, suppresses plasma renin  activity, and increases urinary sodium excretion.   ? This natriuresis reduces total body sodium, resulting  in hyponatremia.  ? Reduced serum osmolality occur in the setting of an  inappropriately normal or increased urine osmolality 7."
Posterior pituitary secretes-,Ans. (a) McCune Albright syndrome,"(Ref: Robbins 9th/pg 1206-1207) McCune-Albright syndrome Genetics It is due to GNAS mutation?continuous activation  of stimulatory G protein Patho? physiology Increased production of hormones by glands  regulated by the G protein system Clinical  features Precocious puberty, Polyostotic fibrous dysplasia,  unilateral CafÇ au lait spots 8."
Findings of SIADH includes,Ans. (b) Hashimoto?s thyroiditis,(Ref: Robbins 9th/pg 1086) 9.
"A patient presents with Endocrinopathy, fibrous dysplasia of bone and hyperpigmentation. Diagnosis is",Ans. (d) Psoriasis,"(Ref: Robbins 9th/pg 1086-1087) Patients with (autoimmune) Hashimoto thyroiditis are  at increased risk for developing:  ? B-cell Non Hodgkins lymphomaQ  ? Autoimmune diseases:  É Endocrine (type 1 diabetes, autoimmune  adrenalitis)Q  É Non-endocrine (SLE, myasthenia gravis, and  Sjîgren syndrome) 10."
25-year-old female presented with swelling in front of neck. TSH levels were elevated. Biopsy showed lymphocytic infiltration and Hurthle cells. Which of the following is the possible diagnosis,Ans. (d) B-cell Lymphoma,(Ref: Robbins 9th/pg 1086-1087) 11.
Autoimmune thyroiditis is associated with all except-,Ans. (b) Papillary carcinoma thyroid,(Ref: R 9th pg 1086) 12.
Which one of the following variants of papillary carcinoma thyroid occurs in younger individuals including children with lymphonodal metastases in almost all cases and morphologically simulates Hashimoto thyroiditis is,"Ans. (c, d); c. elderly age;  d. Iodine sufficiency 13.",No explanation provided.
Thyroglossal cyst is associated with which type of thyroid Ca,Ans. (b) Most commonly occurring thyroid carcinoma 14.,No explanation provided.
"About Reidel thyroiditis, which is true",Ans. (a) Medullary carcinoma thyroid,"(Ref: Robbins 9th ed p 1099)   Sporadic medullary thyroid carcinomas present as a  solitary nodule. In contrast, bilaterality and multicen- tricity are common in familial cases. Larger lesions often  contain areas of necrosis and hemorrhage and may extend  through the capsule of the thyroid. The tumor tissue is firm,  pale gray to tan, and infiltrative.    Microscopically, medullary carcinomas are composed of  polygonal to spindle-shaped cells, which may form nests,  tra-beculae, and even follicles. Small, more anaplastic cells  are present in some tumors and may be the predominant  cell type. Acellular amyloid deposits derived from calcitonin  polypeptides are present in the stroma in many cases Complete Review of Pathology 592 Answers with Explanations Dense fibrosis disrupts normal gland architecture and can  extend outside the thyroid capsule. Despite these extensive histologic changes, thyroid  dysfunction is uncommon. Fibrosis of retroperitoneum can also occur Associated with Systemic autoimmune IgG4-related disease  (fibrosis & tissue infiltration by plasma cells producing IgG4) 21."
Hematogenous route of metastasis is seen in which type of thyroid carcinoma,Ans. (d) Follicular,(Ref: Robbins 9th/pg 1097-1098) 22.
Hurthle cell carcinoma is a variant of -,Ans. (c) Follicular carcinoma,"(Ref: R 9th/pg 1097-1098) Hurthle cell or oncocytic variant of follicular carcinoma  has characteristic cells with abundant eosinophilic  cytoplasm.  Other variants of Papillary Ca are: Follicular variant Nuclear features of papillary Ca, but  follicular architecture More angioinvasive with less lymphatic  metastasis Tall?cell variant More common in older individuals;  Histopath: Tallcolumnar eosinophilic cells Higher vascularinvasion, extra-thyroid  extension and distantmetastases Diffuse  sclerosing More common on young and children;  Extensive, diffuse fibrosis; Papillary  Microcarcinoma < 1 cm size; precursors of typical  papillary carcinomas 23."
Medullary ca of thyroid is associated with increase in,Ans. (a) Calcitonin,"(Ref: Robbins 9th/pg 1099-1100)  ? In Medullary Carcinoma Thyroid, serum Calcitonin is  elevated.  ? Elevated serum calcitonin also provides a marker of  residual or recurrent disease.   ? All patients with Medullary Carcinoma Thyroid  should also be tested for RET mutations, so that genetic  counseling and testing of family members can be offered; 24."
Which thyroid carcinoma has amyloid deposition,Ans. (c) Medullary,(Ref: Robbins 9th/pg 1099-1100) Medullary carcinoma thyroid presents with amyloid  deposition of ACal type. 25.
True about Psammoma bodies are all except,Ans. (d) Seen in teratoma,"(Ref: Robbins 9th/pg 1096) Psammoma Bodies are Lamellated, concentrically calcified structures formed by  progressive acquisition of outer layers;  26."
Most common Thyroid ca post radiation exposure,Ans. (a) Papillary CA,(Ref: Robbins 9th/pg 1095-1097) Most common Thyroid Carcinoma post radiation exposure  is Papillary CA 27.
Orphan annie-eye nuclei appearance is characteristic of,Ans. (a) Papillary carcinoma thyroid,(Ref: Robbins 9th/pg 1095-1097) 28.
Psammoma bodies can be seen in the following except,Ans. (a) Follicular carcinoma of thyroid,"(Ref: Robbins 9th/pg 1096; 8th/pg 38, 1122) 29."
Most common thyroid Cancer is -,Ans. (a) Papillary carcinoma,(Ref: R 9th/pg 1095-1097) Most common thyroid Cancer is Papillary carcinoma  30.
Active form of Vit D,"Ans. (a) 1,25 (OH)2 Vit D3","(Ref: Harrison 18th/chapter 352) Active form of Vit D is 1,25 (OH)2Vit D3 31."
The cut off for serum Calcium level below which it is called Hypocalcemia is,Ans. (c) 8 mg/dl,"(Ref: Harrison 18th/Appendix) Normal Calcium level Calcium Serum 2.2?2.6 mmol/L 8.7?10.2 mg/dL Calcium,  ionized Whole  Blood 1.12?1.32  mmol/L 4.5?5.3 mg/dL Hypocalcemia refers to total serum Ca< 8 mg/dl or ionized  Ca< 1 mmol/L 32."
Diagnostic feature of parathyroid carcinoma is-,Ans. (b) Metastasis,"(Ref: Robbins 9th/pg 1104; 8th/pg 1129) Morphology in hyperparathyroidism Parathyroid  adenomas Solitary lesions withuniform,  polygonal chief cells along with nests  of oxyphil cells (oxyphil adenomas) Primary  hyperplasia Chief cell hyperplasia with abundant  water-clear cells (?water?clear cell  hyperplasia?) involving all 4 glands Parathyroid  Carcinomas Circumscribed lesion in a single gland  diagnosed by invasion of surrounding  tissues and metastasis as the only  reliable criteria. 33."
Most common cause of primary hyperparathyroidism is,Ans. (a) Adenoma,(Ref: Robbins 9th/pg 1104) Most common cause of primary hyperparathyroidism is  Adenoma 34.
Gs-alpha mutation my lead to,Ans. (d) All of the above,"(Ref: Robbins 9th/pg 1077, 1101; 8th/pg 1101, 1127) GS‡ Loss of function Gain of function Gain or loss of  function  ? Pseudohypopar- athyroidim type Ia  ? Pseudohypopar- athyroidim type Ib  ? Pituitary  or thyroid  adenomas  ? Leydig cell  tumors  ? McCune- Albright  syndrome  ? Testotoxicosis  with pseudo- hypoparathy- roidism type Ia Gi2‡: Gain of function  ? Pituitary adenomas  ? Adrenal cortex and ovary tumors 35."
Brown tumor of bone is seen in -,Ans. (a) Hyperparathyroidism,"(Ref: R 9th/pg 1102) Skeletal Abnormalities in Hyperparathyroidism:   ? Osteoporosis- cortical bone more severely involved than  medullary bone  ? Brown tumors: brown colour- due to increased  vascularity, hemorrhage & hemosiderin deposition  ? Osteitisfibrosacystica (von Recklinghausen disease of  bone) 593 Chapter 19 ? Endocrine System and its Disorders Answers with Explanations 36."
Whipple?s triad is diagnostic of,Ans. (b)  Insulinoma,(Ref: Robbins 9th/pg 1121; 8th 1146) 37.
Which of these is the most common cause for insulin resistance,Ans. (b) Post receptor defects,(Ref: Robbins 9th/pg1111) ?Postreceptor? defects in insulin-regulated phosphor- ylation/dephosphorylation appear to play the predomi- nant role in insulin resistance.   ? PI-3-kinase signaling defect might reduce translocation  of GLUT4 to the plasma membrane.   ? Accumulation of lipid within skeletal myocytes may  impair mitochondrial oxidative phosphorylation  and reduce insulin-stimulated mitochondrial ATP  production.   ? Impaired fatty acid oxidation and lipid accumulation  within skeletal myocytes also may generate reactive  oxygen species such as lipid peroxides.  38.
Insulin resistance in liver disease is due to,Ans. (c) Hepatocyte dysfunction,(Ref: World J Hepatol. 2011 May 27; 3(5): 99?107) Factors responsible for development of hepatogenous  insulin resistance/diabetes:  ? Hepatic parenchymal cell damage  ? Portal-systemic shunting   ? Hepatitis C virus  HCV genotype 3 can give rise to insulin resistance and non  alcoholic fatty liver disease (NAFLD) 39.
True about neuroendocrine tumors of pancreas is/are,"Ans. (a, b, d, e); a. Insulinoma is most common  neuroendocrine tumors of pancreas; b. VIPoma  causes diarrhea; d. Somatostatinoma causes gall  stone formation, e. Gastrinoma has high chance of  malignancy",(Ref: Harrison 18th/chapter 350) 40.
Nesidioblastoma is due to hyperplasia of- a. Alpha cell b. Beta cell,Ans. (b) Beta cell,(Ref: Robbins 9th/pg 1121; 8th/pg 1146)  ? Nesidioblastosis is Focal or diffuse hyperplasia of the  ?-cellsQ in pancreatic islets  ? Nesidioblastosiscan also be seen in:  É Infant of diabetic motherQ  É Beckwith-Wiedemann syndromeQ  É Rare mutations in the ?-cell K+ channel protein or  sulfonylurea receptor 41.
"70 M presented to AIIMS OPD with fatigue. Fasting sugar was 110 mg%, PP was 180 mg%, Hba1c was 6.1 %. What is your diagnosis",Ans. (a) Prediabetes,(Ref: Robbins 9th/pg 1106; 8th 1131) Diagnostic criteria according to ADA and WHO: Presence  of any 1 or more of the following: Criteria Diabetes Impaired glucose  tolerance   (pre?diabetes)  ? Fasting plasma glucose  Ú126 mg/dL between 100 and  125 mg/dL  ? Random plasma glucose  Ú200 mg/dL ?  ? 2?hour plasma glucose  during oral glucose  tolerance test (OGTT) with  75 g Ú 200 mg/dL between 140 and  199 mg/dL  ? Glycated hemoglobin  (HbA1C) level  Ú 6.5% between 5.7%  and 6.4%. 42.
"For diagnosis of DM, fasting blood glucose level should be more than",Ans. (a) 126 mg/dl,(Ref: Robbins 9th/pg 1106; 8th/pg 1131) 43.
